initial_budget,dca_levels,first_level,level_step,num_levels,take_profit_percent,stop_loss_percent,roi,net_pnl,total_trades,win_rate,stop_loss_rate,avg_trade_pnl,avg_trade_duration_days,largest_loss,largest_profit,error
1000,"[-8, -12, -16, -20, -24]",-8,4,5,7,15,-393.8,-3938.0,184,59.78,40.22,-21.4,3.95,-150.0,56.0,
1000,"[-6, -9, -12, -15, -18, -21]",-6,3,6,3,15,-394.0,-3940.0,363,84.02,15.98,-10.85,1.5,-150.0,30.0,
1000,"[-7, -10, -13, -16, -19, -22]",-7,3,6,5,15,-394.1667,-3941.67,258,73.64,26.36,-15.28,2.47,-150.0,50.0,
1000,"[-5, -9, -13, -17]",-5,4,4,3,15,-394.5,-3945.0,451,86.03,13.97,-8.75,1.63,-150.0,30.0,
1000,"[-7, -11, -15, -19]",-7,4,4,3,10,-394.75,-3947.5,352,60.23,39.77,-11.21,0.69,-100.0,15.0,
1000,"[-8, -11, -14, -17, -20]",-8,3,5,3,10,-394.8,-3948.0,277,48.74,51.26,-14.25,0.48,-100.0,12.0,
1000,"[-8, -12, -16, -20, -24]",-8,4,5,6,15,-394.8,-3948.0,197,62.94,37.06,-20.04,3.05,-150.0,48.0,
1000,"[-8, -12, -16, -20]",-8,4,4,4,10,-395.0,-3950.0,271,43.17,56.83,-14.58,0.67,-100.0,20.0,
1000,"[-6, -11, -16, -21]",-6,5,4,7,15,-395.5,-3955.0,227,66.96,33.04,-17.42,4.81,-150.0,70.0,
1000,"[-8, -12, -16, -20, -24]",-8,4,5,4,15,-395.8,-3958.0,221,69.68,30.32,-17.91,1.85,-150.0,32.0,
1000,"[-5, -10, -15, -20]",-5,5,4,7,20,-396.5,-3965.0,197,79.19,20.81,-20.13,6.63,-200.0,70.0,
1000,"[-8, -13, -18, -23]",-8,5,4,7,10,-396.5,-3965.0,246,29.27,70.73,-16.12,1.5,-100.0,17.5,
1000,"[-6, -10, -14, -18, -22]",-6,4,5,4,15,-397.4,-3974.0,317,78.23,21.77,-12.54,2.27,-150.0,40.0,
1000,"[-5, -8, -11]",-5,3,3,3,15,-398.0,-3980.0,448,85.71,14.29,-8.88,1.68,-150.0,30.0,
1000,"[-8, -11, -14, -17, -20, -23]",-8,3,6,7,20,-398.8333,-3988.33,150,74.67,25.33,-26.59,5.24,-200.0,70.0,
1000,"[-7, -11, -15, -19, -23]",-7,4,5,7,10,-404.4,-4044.0,290,37.24,62.76,-13.94,1.96,-100.0,28.0,
1000,"[-5, -10, -15, -20, -25]",-5,5,5,5,15,-405.0,-4050.0,313,76.04,23.96,-12.94,3.55,-150.0,40.0,
1000,"[-7, -12, -17]",-7,5,3,4,15,-407.6667,-4076.67,268,76.12,23.88,-15.21,2.14,-150.0,40.0,
1000,"[-7, -11, -15, -19, -23]",-7,4,5,6,10,-408.4,-4084.0,302,40.4,59.6,-13.52,1.73,-100.0,24.0,
1000,"[-5, -10, -15, -20, -25]",-5,5,5,4,15,-408.8,-4088.0,357,79.27,20.73,-11.45,2.75,-150.0,32.0,
1000,"[-5, -8, -11, -14, -17, -20]",-5,3,6,6,20,-410.0,-4100.0,229,82.53,17.47,-17.9,5.44,-200.0,60.0,
1000,"[-7, -10, -13, -16, -19]",-7,3,5,3,15,-411.0,-4110.0,304,81.58,18.42,-13.52,1.23,-150.0,30.0,
1000,"[-7, -11, -15, -19, -23, -27]",-7,4,6,7,15,-411.8333,-4118.33,201,62.69,37.31,-20.49,4.46,-150.0,58.33,
1000,"[-6, -11, -16, -21]",-6,5,4,6,15,-413.25,-4132.5,242,69.01,30.99,-17.08,4.18,-150.0,60.0,
1000,"[-5, -10, -15, -20, -25, -30]",-5,5,6,3,10,-414.6667,-4146.67,514,67.51,32.49,-8.07,1.14,-83.33,10.0,
